system.index,AREA_KM2,CD_MUN,CD_UF,NM_MUN,NM_REGIAO,NM_UF,SIGLA,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Bioma
483,4979.073,1200054,12,Assis Brasil,Norte,Acre,AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amazônia
484,3928.174,1200104,12,Brasiléia,Norte,Acre,AC,7.232137828,10.48046847,10.5713595,10.9225292,10.83473674,10.83163834,16.011507,16.27488463,19.43549021,19.4354881,19.4354881,19.96225276,20.40432156,23.56490283,23.82518715,24.61532852,24.52753582,24.52753606,24.61532852,24.79091392,25.90367758,25.99147114,26.54509374,26.72067852,26.97512204,27.13522772,29.94461962,30.38359957,30.8979878,30.8101951,35.68902234,35.53823265,36.21511989,35.97411982,36.14970913,36.23750152,37.56374707,Amazônia
485,3034.869,1200138,12,Bujari,Norte,Acre,AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amazônia
486,1705.824,1200179,12,Capixaba,Norte,Acre,AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amazônia
487,8783.47,1200203,12,Cruzeiro do Sul,Norte,Acre,AC,50.32207422,55.61923561,59.39256158,62.07566422,61.64816538,63.45473791,63.17394461,68.94361829,72.1532559,69.87645311,74.94092429,71.79457531,111.3040938,111.3650347,115.5581856,123.188412,130.5143905,134.4171468,135.8424859,136.4986808,139.4404137,147.0146609,157.6452387,157.7926688,161.8458083,177.5241178,178.5928504,182.9174877,187.4722327,203.6581323,206.4184181,225.03673,235.483043,241.5912172,241.4230735,242.5303722,273.5035737,Amazônia
488,1652.674,1200252,12,Epitaciolândia,Norte,Acre,AC,2.445327327,2.474590829,2.605070339,2.968279564,2.970000917,2.942459657,2.968623853,2.970000917,2.970000917,2.970000917,3.030248045,3.03162511,3.143512102,3.225791812,3.894360898,4.182856927,4.182856927,4.184233992,4.182856927,4.184233992,10.00303322,10.22508522,10.31769358,10.40548252,10.49464813,10.75491774,10.75491774,10.88952839,10.97869424,11.0430744,11.0430744,11.04445146,11.54811427,11.56877009,11.56877009,11.56877009,11.60251222,Amazônia
489,27976.874,1200302,12,Feijó,Norte,Acre,AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amazônia
0000000000000000048a,5357.227,1200328,12,Jordão,Norte,Acre,AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amazônia
0000000000000000048b,5451.617,1200336,12,Mâncio Lima,Norte,Acre,AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amazônia
0000000000000000048c,10630.6,1200344,12,Manoel Urbano,Norte,Acre,AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amazônia
0000000000000000048d,8190.953,1200351,12,Marechal Thaumaturgo,Norte,Acre,AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amazônia
0000000000000000048e,1952.555,1200385,12,Plácido de Castro,Norte,Acre,AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amazônia
0000000000000000048f,6446.385,1200393,12,Porto Walter,Norte,Acre,AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amazônia
490,8835.154,1200401,12,Rio Branco,Norte,Acre,AC,241.9636552,335.4992493,393.9047976,429.463959,515.888793,522.4107838,572.3709288,582.1889781,599.3521254,621.3898131,631.6107975,676.5734166,701.5148598,707.3913382,716.3507119,722.6041754,736.7796417,745.2002392,777.0875483,784.454141,820.9047504,831.7544981,856.928567,871.7962856,890.2830432,905.0135643,918.7065746,929.8835512,940.2369575,964.1131718,985.3153823,1004.87519,1026.3229,1042.599663,1048.495972,1053.814083,1103.922217,Amazônia
491,3076.342,1200427,12,Rodrigues Alves,Norte,Acre,AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amazônia
492,6155.858,1200435,12,Santa Rosa do Purus,Norte,Acre,AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amazônia
493,2320.169,1200450,12,Senador Guiomard,Norte,Acre,AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amazônia
494,23759.512,1200500,12,Sena Madureira,Norte,Acre,AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amazônia
495,20169.485,1200609,12,Tarauacá,Norte,Acre,AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amazônia
496,5350.586,1200708,12,Xapuri,Norte,Acre,AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amazônia
497,2604.417,1200807,12,Porto Acre,Norte,Acre,AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amazônia
498,5923.461,1300029,13,Alvarães,Norte,Amazonas,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amazônia
499,4754.109,1300060,13,Amaturá,Norte,Amazonas,AM,0,0.03044919109,0.03044919109,0.03044919109,3.004663419,3.004663419,3.093910809,3.093910809,3.183158297,6.942047678,8.317155622,8.495650567,8.717894586,8.905489127,8.905489127,17.57437782,18.72549294,19.96025696,21.71790373,23.88923884,26.30976632,27.11299175,27.40313286,27.22463834,27.42658198,30.29754763,30.65453737,30.74378459,30.83303184,30.92227896,30.83303171,31.27926772,31.54700894,32.06359276,33.67004528,33.91188761,34.5366187,Amazônia
0000000000000000049a,2446.121,1300086,13,Anamã,Norte,Amazonas,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amazônia
0000000000000000049b,6036.38,1300102,13,Anori,Norte,Amazonas,AM,1.971043414,2.790737388,2.79073744,3.136387492,2.873651579,2.873651579,2.873651579,2.873651579,3.931241864,4.326570069,5.129469385,8.058394431,10.107102,10.19631314,10.73367896,11.15384604,10.80189937,10.98032165,11.15874371,11.51558789,11.33716554,11.34101386,11.69785804,14.374191,14.37419092,16.40680616,17.23209546,18.83474491,21.06501903,22.39828765,22.57670977,23.02766341,22.84924114,23.27605457,26.66607239,27.19329217,29.99801471,Amazônia
0000000000000000049c,54240.545,1300144,13,Apuí,Norte,Amazonas,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amazônia
0000000000000000049d,76435.093,1300201,13,Atalaia do Norte,Norte,Amazonas,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amazônia
0000000000000000049e,7652.852,1300300,13,Autazes,Norte,Amazonas,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amazônia
0000000000000000049f,122461.086,1300409,13,Barcelos,Norte,Amazonas,AM,0,0.02243386305,0.02243386305,0.02243386305,0.02243386305,0.02243386305,0.02243386305,0.02243386305,0.02243386305,0.02243386305,0.02243386305,0.02243386305,0.02243386305,0.05538359693,0.05538359693,0.05538359693,0.05538359693,0.05538359693,0.05538359693,0.05538359693,0.05538359693,0.05538359693,0.9492358681,7.653124232,10.15591044,17.64463176,17.82340225,18.35971351,18.62786902,18.98541032,19.07479544,19.16418066,18.98541027,18.99627667,19.89363193,19.89363193,19.64966234,Amazônia
000000000000000004a0,5751.765,1300508,13,Barreirinha,Norte,Amazonas,AM,0,10.4617712,10.2831829,10.4617712,9.987987162,9.926006516,9.987987162,9.926006516,11.44330665,11.62189499,11.71118856,11.65936255,18.59978923,20.5649572,20.58176555,19.95670648,20.19552381,21.07935777,23.24972637,23.96442742,24.12970557,24.66546823,25.07411844,25.25270608,36.48059851,42.66532281,44.45119775,45.34413427,45.07625385,45.16554731,47.04071056,49.54094316,49.89811912,52.04117195,52.5758848,53.2009415,53.55811049,Amazônia
000000000000000004a1,8695.391,1300607,13,Benjamin Constant,Norte,Amazonas,AM,1.069726974,15.75854659,21.27428012,21.23198015,20.9645474,21.35782782,21.09039459,21.28546204,21.37460468,21.98183354,21.71440154,22.87326901,25.23190934,26.21179188,26.32715363,30.66897889,31.20698743,31.7250706,33.04964269,32.71858685,35.06988681,35.00626262,35.97251176,35.70508046,35.76870484,35.58971775,35.52609343,38.25913992,38.33534826,40.56394745,39.93713966,39.12680413,39.6441891,39.70256972,41.05615826,40.61078741,41.13131959,Amazônia
000000000000000004a2,17472.779,1300631,13,Beruri,Norte,Amazonas,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amazônia
000000000000000004a3,2589.407,1300680,13,Boa Vista do Ramos,Norte,Amazonas,AM,0,0.5409349218,0.5409349218,0.4516544282,0.4516544282,0.8024746771,1.44284407,1.621405117,2.16724166,2.435083074,2.708176567,2.788353891,2.788353891,2.788353891,4.528799687,4.707360905,4.707360905,6.099086015,6.545488363,6.902610159,7.851084397,8.250920481,8.250920481,8.535917463,8.934703296,12.55317696,16.24026832,19.70083457,19.87729384,22.82984006,26.30160698,31.72562667,32.16327537,34.53077636,34.53077636,34.68692922,34.81157147,Amazônia
000000000000000004a4,21938.583,1300706,13,Boca do Acre,Norte,Amazonas,AM,10.6992093,11.26659448,13.65985949,26.7695476,27.62532875,27.89150586,28.15874777,27.98164138,27.89326065,27.9816382,28.15839911,28.07002156,28.07001332,28.07001332,28.24678396,28.24678896,28.26758538,43.70507182,47.48538354,48.0849788,50.40617422,61.66375086,63.3468351,66.71880896,69.13565894,70.61003641,72.16663485,73.89270069,75.29016836,76.43460431,77.05432888,77.88201847,79.82636609,83.1259148,87.48418582,88.5437198,105.1036622,Amazônia
000000000000000004a5,44236.184,1300805,13,Borba,Norte,Amazonas,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amazônia
000000000000000004a6,9455.539,1300839,13,Caapiranga,Norte,Amazonas,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amazônia
000000000000000004a7,33642.732,1300904,13,Canutama,Norte,Amazonas,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amazônia
